Fighter Name,Record,Height,Weight,Reach,Stance,SLpM,Str. Acc,SApM,Str. Def,TD Avg,TD Acc,TD Def,Sub. Avg
Jacqueline Cavalcanti,RECORD: 6-1-0,"5' 8""",135 lbs.,"70""",Orthodox,8.40,57%,2.60,84%,0.00,0%,100%,0.0
Zarah Fairn,RECORD: 6-6-0,"5' 8""",135 lbs.,"72""",Orthodox,4.55,31%,7.40,45%,0.00,0%,60%,0.0
Chan Sung Jung,RECORD: 17-8-0,"5' 7""",145 lbs.,"72""",Orthodox,3.93,41%,4.52,52%,0.70,44%,72%,0.6
Ryan Spann,RECORD: 21-9-0,"6' 5""",205 lbs.,"79""",Orthodox,3.42,40%,3.91,45%,1.29,35%,47%,1.5
Giga Chikadze,RECORD: 15-3-0,"6' 0""",145 lbs.,"74""",Orthodox,4.08,43%,3.44,62%,0.23,33%,69%,0.2
Alex Caceres,RECORD: 21-14-0 (1 NC),"5' 10""",145 lbs.,"73""",Southpaw,4.16,50%,2.93,63%,0.56,68%,64%,0.7
Taila Santos,RECORD: 19-3-0,"5' 6""",125 lbs.,"68""",Orthodox,3.39,48%,2.64,58%,2.00,76%,86%,1.1
Parker Porter,RECORD: 14-9-0,"6' 0""",265 lbs.,"75""",Orthodox,6.55,50%,6.32,51%,1.35,26%,66%,0.5
Toshiomi Kazama,RECORD: 10-4-0,"5' 7""",135 lbs.,"69""",Orthodox,2.22,54%,3.94,45%,1.51,13%,66%,0.0
Rolando Bedoya,RECORD: 14-3-0,"5' 11""",170 lbs.,"74""",Orthodox,8.70,55%,6.83,52%,0.00,0%,0%,0.0
Billy Goff,RECORD: 9-2-0,"5' 10""",170 lbs.,"72""",Switch,10.22,46%,4.30,64%,4.04,40%,100%,0.0
Yusaku Kinoshita,RECORD: 6-3-0,"6' 0""",170 lbs.,"71""",Southpaw,4.65,50%,5.12,51%,0.00,0%,50%,0.0
Liang Na,RECORD: 19-7-0,"5' 5""",125 lbs.,"67""",Orthodox,1.93,40%,4.48,27%,5.10,60%,0%,0.8
SeungWoo Choi,RECORD: 11-6-0,"6' 0""",145 lbs.,"74""",Orthodox,3.48,38%,3.02,47%,0.87,54%,69%,0.0
Da'Mon Blackshear,RECORD: 14-6-1,"5' 10""",135 lbs.,"72""",Switch,4.28,47%,4.09,48%,2.34,37%,66%,0.8
Austin Hubbard,RECORD: 16-7-0,"5' 10""",155 lbs.,"71""",Orthodox,3.83,46%,3.37,56%,1.55,52%,63%,0.0
Karine Silva,RECORD: 17-4-0,"5' 5""",125 lbs.,"67""",Orthodox,3.37,35%,3.37,50%,2.45,60%,0%,4.1
Cub Swanson,RECORD: 29-13-0,"5' 8""",145 lbs.,"70""",Orthodox,4.70,50%,3.84,59%,1.09,52%,61%,0.4
Hakeem Dawodu,RECORD: 13-4-1,"5' 8""",145 lbs.,"73""",Orthodox,5.45,50%,3.37,56%,0.00,0%,65%,0.0
Chris Daukaus,RECORD: 12-7-0,"6' 3""",205 lbs.,"76""",Orthodox,6.05,50%,4.64,55%,0.00,0%,100%,0.0
Iasmin Lucindo,RECORD: 15-5-0,"5' 3""",115 lbs.,"66""",Orthodox,3.33,39%,3.23,67%,2.33,66%,66%,0.4
Tafon Nchukwi,RECORD: 6-4-0,"6' 0""",185 lbs.,"77""",Orthodox,5.57,52%,4.11,54%,0.76,57%,64%,0.0
JP Buys,RECORD: 9-6-0,"5' 5""",135 lbs.,"67""",Orthodox,1.88,39%,3.02,40%,1.55,25%,25%,2.3
Francis Marshall,RECORD: 7-2-0,"5' 9""",145 lbs.,"72""",Orthodox,3.66,33%,4.07,53%,3.29,50%,0%,0.7
Juliana Miller,RECORD: 4-3-0,"5' 7""",125 lbs.,"66""",Orthodox,3.31,45%,4.75,32%,1.84,44%,0%,1.8
Cory Sandhagen,RECORD: 17-4-0,"5' 11""",135 lbs.,"70""",Switch,5.33,44%,3.40,58%,1.36,33%,64%,0.3
Tatiana Suarez,RECORD: 11-0-0,"5' 5""",115 lbs.,"66""",Southpaw,4.27,63%,1.38,51%,6.20,61%,100%,0.9
Gavin Tucker,RECORD: 13-3-0,"5' 6""",145 lbs.,"66""",Southpaw,4.29,44%,4.18,57%,3.13,44%,53%,1.5
Tanner Boser,RECORD: 21-10-1,"6' 2""",205 lbs.,"75""",Orthodox,4.70,52%,2.75,58%,0.00,0%,63%,0.0
Aleksa Camur,RECORD: 6-3-0,"6' 1""",205 lbs.,"74""",Orthodox,4.73,57%,4.26,54%,0.46,22%,50%,0.0
Carlston Harris,RECORD: 19-5-0,"6' 0""",170 lbs.,"76""",Orthodox,2.93,49%,2.44,53%,2.05,29%,55%,0.8
Jake Hadley,RECORD: 10-2-0,"5' 7""",125 lbs.,"70""",Southpaw,3.42,44%,3.20,60%,0.32,25%,35%,2.2
Jan Blachowicz,RECORD: 29-10-1,"6' 2""",205 lbs.,"78""",Orthodox,3.41,50%,2.91,53%,1.09,50%,68%,0.3
Michael Chiesa,RECORD: 18-7-0,"6' 1""",170 lbs.,"75""",Southpaw,1.87,40%,1.70,54%,3.33,50%,60%,1.0
Vinicius Salvador,RECORD: 14-6-0,"5' 7""",135 lbs.,"70""",Southpaw,5.44,42%,6.05,49%,0.38,11%,86%,0.0
Jai Herbert,RECORD: 12-5-1,"6' 1""",155 lbs.,"77""",Orthodox,2.69,41%,3.15,45%,0.20,10%,57%,0.0
Lerone Murphy,RECORD: 13-0-1,"5' 9""",145 lbs.,"73""",Orthodox,3.65,50%,2.40,56%,1.29,46%,46%,0.9
Davey Grant,RECORD: 15-7-0,"5' 8""",135 lbs.,"69""",Orthodox,4.77,42%,3.82,55%,1.26,41%,61%,0.2
Jonny Parsons,RECORD: 9-3-0,"5' 9""",170 lbs.,"69""",Orthodox,4.65,44%,4.89,60%,0.00,0%,66%,0.0
Danny Roberts,RECORD: 18-8-0,"6' 1""",170 lbs.,"74""",Southpaw,3.18,39%,3.73,50%,0.24,9%,57%,0.2
Joel Alvarez,RECORD: 20-3-0,"6' 3""",155 lbs.,"77""",Orthodox,3.65,46%,3.37,50%,0.00,0%,11%,1.3
Ketlen Vieira,RECORD: 14-3-0,"5' 8""",135 lbs.,"68""",Orthodox,3.04,41%,3.92,51%,1.51,44%,92%,0.6
Yanal Ashmouz,RECORD: 7-1-0,"5' 9""",155 lbs.,"68""",Orthodox,3.08,42%,5.35,59%,0.92,50%,50%,0.0
Shauna Bannon,RECORD: 5-1-0,"5' 5""",115 lbs.,"65""",Switch,3.60,37%,3.73,37%,0.00,0%,33%,0.0
Daniel Barez,RECORD: 16-6-0,"5' 6""",125 lbs.,"66""",Orthodox,3.80,53%,5.32,55%,4.07,31%,91%,1.6
Bassil Hafez,RECORD: 8-4-1,"5' 11""",170 lbs.,"72""",Orthodox,2.13,25%,5.53,39%,3.00,15%,50%,0.0
Ottman Azaitar,RECORD: 13-2-0,"5' 8""",155 lbs.,"71""",Switch,5.73,51%,4.96,48%,0.00,0%,100%,0.0
Albert Duraev,RECORD: 16-5-0,"5' 11""",185 lbs.,"75""",Orthodox,2.99,40%,3.01,59%,1.97,29%,66%,0.6
Melsik Baghdasaryan,RECORD: 8-2-0,"5' 9""",145 lbs.,"70""",Southpaw,5.28,61%,3.06,58%,0.00,0%,72%,0.0
Tucker Lutz,RECORD: 12-4-0,"5' 8""",145 lbs.,"72""",Orthodox,3.74,46%,3.25,44%,1.99,44%,69%,0.2
Istela Nunes,RECORD: 6-5-0 (1 NC),"5' 4""",115 lbs.,"66""",Orthodox,5.02,45%,4.84,60%,0.00,0%,50%,0.0
Austin Lingo,RECORD: 9-3-0,"5' 10""",145 lbs.,"70""",Orthodox,3.86,37%,4.86,57%,0.43,66%,75%,0.0
Evan Elder,RECORD: 8-2-0,"5' 10""",155 lbs.,"72""",Switch,4.75,48%,5.00,57%,0.74,22%,28%,0.4
Genaro Valdez,RECORD: 10-3-0,"5' 9""",155 lbs.,"72""",Orthodox,4.08,30%,7.16,48%,1.54,44%,36%,0.4
Tyson Nam,RECORD: 21-14-1,"5' 7""",125 lbs.,"68""",Orthodox,3.87,33%,4.97,65%,0.00,0%,87%,0.0
Alexander Munoz,RECORD: 7-2-0,"5' 9""",155 lbs.,"72""",Switch,3.70,42%,4.73,55%,3.00,40%,100%,0.0
Carl Deaton,RECORD: 17-7-0 (2 NC),"5' 7""",155 lbs.,"69""",Orthodox,1.53,31%,1.85,61%,0.00,0%,50%,0.0
Ashlee Evans-Smith,RECORD: 6-6-0,"5' 8""",135 lbs.,"67""",Orthodox,4.03,34%,4.59,53%,0.95,22%,50%,0.0
Dan Hooker,RECORD: 23-12-0,"6' 0""",155 lbs.,"75""",Switch,5.08,48%,4.76,51%,0.79,34%,80%,0.4
Robbie Lawler,RECORD: 30-16-0 (1 NC),"5' 11""",170 lbs.,"74""",Southpaw,3.85,47%,4.67,59%,0.65,64%,65%,0.0
Niko Price,RECORD: 15-7-0 (2 NC),"6' 0""",170 lbs.,"76""",Orthodox,5.46,42%,5.60,48%,0.70,20%,64%,0.7
Jimmy Crute,RECORD: 12-4-1,"6' 2""",205 lbs.,"74""",Orthodox,3.68,54%,3.04,44%,4.84,57%,60%,2.0
Esteban Ribovics,RECORD: 12-1-0,"5' 10""",155 lbs.,"69""",Orthodox,6.16,52%,3.40,52%,0.95,66%,60%,0.5
Kamuela Kirk,RECORD: 12-6-0,"5' 10""",155 lbs.,"75""",Switch,3.22,50%,5.87,40%,1.50,26%,47%,1.2
Damir Ismagulov,RECORD: 24-3-0,"5' 10""",155 lbs.,"74""",Orthodox,3.36,42%,2.44,61%,1.00,28%,70%,0.0
Melissa Gatto,RECORD: 8-2-2,"5' 5""",125 lbs.,"69""",Orthodox,3.98,48%,3.13,54%,1.18,21%,63%,0.3
Ismael Bonfim,RECORD: 19-4-0,"5' 8""",155 lbs.,"71""",Orthodox,4.91,57%,2.66,76%,1.11,28%,81%,0.0
Kevin Lee,RECORD: 18-8-0,"5' 9""",170 lbs.,"77""",Orthodox,3.88,42%,3.60,50%,3.18,43%,75%,0.8
Yana Santos,RECORD: 14-8-0 (1 NC),"5' 6""",135 lbs.,"68""",Orthodox,4.16,56%,3.03,50%,1.11,53%,42%,0.1
Guram Kutateladze,RECORD: 12-4-0,"5' 11""",155 lbs.,"72""",Orthodox,4.62,45%,4.53,56%,0.69,18%,75%,0.0
Ivana Petrovic,RECORD: 6-1-0,"5' 8""",125 lbs.,"70""",Southpaw,1.47,35%,2.73,52%,2.00,33%,66%,2.0
Alexandr Romanov,RECORD: 17-2-0,"6' 2""",262 lbs.,"75""",Southpaw,4.06,52%,2.20,50%,4.32,54%,20%,0.9
Blagoy Ivanov,RECORD: 19-6-0 (1 NC),"5' 11""",250 lbs.,"73""",Southpaw,3.25,40%,4.20,53%,0.69,40%,61%,0.1
David Onama,RECORD: 11-2-0,"5' 11""",145 lbs.,"74""",Orthodox,5.38,46%,5.48,51%,0.87,18%,45%,0.3
Gabriel Santos,RECORD: 10-2-0,"5' 9""",145 lbs.,"70""",Orthodox,4.46,55%,6.03,44%,4.34,46%,66%,1.2
Phil Rowe,RECORD: 10-4-0,"6' 3""",170 lbs.,"80""",Orthodox,3.94,52%,4.32,54%,0.85,40%,59%,0.4
Zhalgas Zhumagulov,RECORD: 14-9-0,"5' 4""",125 lbs.,"66""",Switch,5.24,43%,5.86,52%,1.30,19%,75%,0.2
Jared Cannonier,RECORD: 17-6-0,"5' 11""",185 lbs.,"77""",Switch,4.68,52%,4.13,59%,0.44,42%,63%,0.0
Marvin Vettori,RECORD: 19-7-1,"6' 0""",185 lbs.,"74""",Southpaw,4.56,45%,4.24,56%,1.66,45%,69%,0.5
Tereza Bleda,RECORD: 7-1-0,"5' 9""",125 lbs.,"71""",Orthodox,3.02,53%,1.86,46%,1.81,27%,83%,0.7
Gabriella Fernandes,RECORD: 8-3-0,"5' 6""",125 lbs.,"66""",Southpaw,1.63,47%,2.70,47%,0.00,0%,61%,0.0
Ronnie Lawrence,RECORD: 8-2-0 (1 NC),"5' 8""",135 lbs.,"68""",Switch,2.78,56%,1.75,52%,6.75,77%,45%,0.2
Amanda Nunes,RECORD: 23-5-0,"5' 8""",135 lbs.,"69""",Orthodox,4.55,51%,2.62,57%,2.73,54%,82%,0.7
Adam Fugitt,RECORD: 9-4-0,"6' 1""",170 lbs.,"77""",Southpaw,4.30,54%,5.13,48%,3.43,33%,50%,0.0
David Dvorak,RECORD: 20-6-0,"5' 5""",125 lbs.,"68""",Orthodox,3.48,43%,3.29,59%,0.58,30%,70%,0.2
Maria Oliveira,RECORD: 13-7-0,"5' 6""",115 lbs.,"69""",Orthodox,5.03,38%,5.76,44%,0.95,44%,47%,0.0
Amir Albazi,RECORD: 17-1-0,"5' 5""",125 lbs.,"68""",Orthodox,2.80,39%,3.07,63%,1.71,33%,40%,0.7
Kai Kara-France,RECORD: 24-11-0 (1 NC),"5' 4""",125 lbs.,"69""",Orthodox,4.57,39%,3.24,65%,0.63,33%,88%,0.0
Daniel Pineda,RECORD: 28-15-0 (3 NC),"5' 7""",145 lbs.,"69""",Orthodox,3.09,49%,3.18,46%,1.71,25%,48%,1.7
Jesse Butler,RECORD: 12-5-0,"5' 10""",135 lbs.,"73""",Orthodox,2.61,14%,7.83,40%,0.00,0%,0%,0.0
Ketlen Souza,RECORD: 13-4-0,"5' 3""",115 lbs.,"63""",Orthodox,0.00,0%,1.71,70%,0.00,0%,0%,0.0
Abubakar Nurmagomedov,RECORD: 17-4-1,"5' 11""",170 lbs.,"72""",Orthodox,2.78,53%,2.61,65%,1.25,22%,88%,0.0
Daniel Santos,RECORD: 12-2-0,"5' 7""",135 lbs.,"67""",Orthodox,4.26,37%,5.12,50%,1.90,50%,73%,0.0
Luan Lacerda,RECORD: 12-3-0,"5' 7""",135 lbs.,"71""",Orthodox,4.52,44%,7.07,47%,1.26,25%,75%,0.6
Maxim Grishin,RECORD: 32-10-2,"6' 3""",205 lbs.,"78""",Orthodox,3.26,52%,2.27,58%,0.21,16%,66%,0.0
Diego Ferreira,RECORD: 18-5-0,"5' 9""",155 lbs.,"74""",Orthodox,4.66,37%,3.42,56%,0.71,22%,63%,0.7
Maheshate,RECORD: 9-3-0,"6' 0""",155 lbs.,"71""",Orthodox,2.91,26%,4.86,49%,0.00,0%,45%,0.0
Orion Cosce,RECORD: 8-2-0,"5' 11""",170 lbs.,"71""",Switch,2.77,53%,4.02,44%,1.92,40%,61%,0.0
Ilir Latifi,RECORD: 17-9-0 (1 NC),"5' 10""",230 lbs.,"73""",Orthodox,2.05,45%,2.93,56%,2.11,35%,100%,0.3
Nick Fiore,RECORD: 6-2-0,"5' 10""",155 lbs.,"72""",Orthodox,2.83,46%,7.93,42%,2.50,45%,71%,0.0
Victoria Leonardo,RECORD: 9-6-0,"5' 5""",125 lbs.,"64""",Orthodox,3.27,39%,4.70,46%,1.60,27%,71%,0.0
Takashi Sato,RECORD: 16-7-0,"5' 10""",170 lbs.,"73""",Southpaw,2.21,41%,3.73,44%,0.76,37%,60%,0.0
Daniel Rodriguez,RECORD: 17-4-0,"6' 1""",170 lbs.,"74""",Southpaw,7.30,50%,5.28,56%,0.62,50%,63%,0.1
Matt Brown,RECORD: 26-19-0,"6' 0""",170 lbs.,"75""",Orthodox,3.76,55%,2.92,55%,1.68,46%,63%,1.3
Chase Sherman,RECORD: 16-12-0,"6' 4""",250 lbs.,"78""",Orthodox,6.04,45%,6.65,52%,0.09,50%,74%,0.0
Douglas Silva de Andrade,RECORD: 29-5-0 (1 NC),"5' 7""",135 lbs.,"68""",Orthodox,3.66,38%,3.99,58%,0.61,46%,70%,0.2
Cody Stamann,RECORD: 21-6-1,"5' 6""",135 lbs.,"64""",Orthodox,4.39,47%,3.63,62%,2.34,39%,76%,0.0
Mandy Bohm,RECORD: 8-2-0 (1 NC),"5' 7""",125 lbs.,"71""",Orthodox,2.51,45%,3.24,60%,0.72,18%,75%,0.7
Ji Yeon Kim,RECORD: 9-7-2,"5' 7""",125 lbs.,"72""",Orthodox,5.37,36%,5.41,56%,0.00,0%,50%,0.1
Gabe Green,RECORD: 11-5-0,"5' 10""",155 lbs.,"73""",Switch,6.28,45%,6.95,47%,0.83,50%,53%,0.3
Jessica-Rose Clark,RECORD: 11-9-0 (1 NC),"5' 5""",135 lbs.,"64""",Orthodox,3.73,51%,3.51,58%,1.66,42%,62%,0.3
Belal Muhammad,RECORD: 23-3-0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,4.55,43%,3.64,57%,1.98,35%,93%,0.2
Kron Gracie,RECORD: 5-2-0,"5' 9""",145 lbs.,"70""",Southpaw,3.74,44%,6.82,53%,0.47,25%,0%,0.5
Khaos Williams,RECORD: 14-3-0,"6' 0""",170 lbs.,"77""",Orthodox,5.77,39%,5.33,42%,0.00,0%,80%,0.0
Braxton Smith,RECORD: 5-2-0,"5' 11""",257 lbs.,"72""",Orthodox,6.46,48%,11.54,32%,0.00,0%,100%,0.0
Joseph Holmes,RECORD: 8-4-0,"6' 4""",185 lbs.,"80""",Orthodox,2.88,53%,3.08,54%,1.49,40%,50%,0.8
Trey Waters,RECORD: 8-1-0,"6' 5""",170 lbs.,"77""",Orthodox,6.45,45%,3.95,61%,0.78,50%,77%,0.8
Journey Newson,RECORD: 10-5-0 (1 NC),"5' 5""",135 lbs.,"67""",Orthodox,2.64,32%,2.57,64%,0.56,16%,43%,0.3
Hailey Cowan,RECORD: 7-3-0,"5' 8""",135 lbs.,"67""",Southpaw,2.97,42%,3.17,34%,1.50,33%,80%,0.0
Brogan Walker,RECORD: 8-4-0,"5' 4""",125 lbs.,"67""",Switch,2.04,30%,3.70,47%,0.00,0%,11%,0.0
Montel Jackson,RECORD: 13-2-0,"5' 10""",135 lbs.,"75""",Southpaw,3.36,53%,1.41,64%,3.42,71%,69%,0.3
Rani Yahya,RECORD: 28-11-1 (1 NC),"5' 6""",135 lbs.,"67""",Orthodox,1.59,37%,1.77,50%,2.86,32%,24%,1.9
Brady Hiestand,RECORD: 8-2-0,"5' 8""",135 lbs.,"71""",Orthodox,2.93,52%,3.65,53%,4.06,46%,42%,0.3
Batgerel Danaa,RECORD: 12-5-0,"5' 7""",135 lbs.,"70""",Orthodox,5.38,36%,4.21,47%,0.52,50%,62%,0.0
Azamat Murzakanov,RECORD: 13-0-0,"5' 10""",205 lbs.,"71""",Southpaw,4.57,57%,3.12,57%,0.75,16%,83%,0.0
Rafa Garcia,RECORD: 16-3-0,"5' 7""",155 lbs.,"70""",Orthodox,4.19,42%,4.21,61%,3.61,44%,79%,0.3
Matheus Nicolau,RECORD: 19-4-1,"5' 6""",125 lbs.,"66""",Orthodox,3.66,53%,3.14,66%,1.48,45%,93%,0.9
Zak Cummings,RECORD: 25-7-0,"6' 0""",205 lbs.,"75""",Southpaw,2.96,35%,2.91,55%,0.62,28%,66%,0.6
Ed Herman,RECORD: 27-16-0 (1 NC),"6' 1""",205 lbs.,"77""",Orthodox,3.31,48%,3.71,42%,1.96,47%,59%,1.0
Piera Rodriguez,RECORD: 9-1-0,"5' 3""",115 lbs.,"63""",Orthodox,3.46,46%,2.98,57%,3.31,41%,66%,0.0
Lando Vannata,RECORD: 12-7-2,"5' 9""",155 lbs.,"71""",Orthodox,4.52,45%,4.76,55%,1.09,37%,69%,0.3
Aaron Phillips,RECORD: 12-5-0,"5' 9""",135 lbs.,"71""",Southpaw,1.51,53%,3.66,43%,0.86,50%,44%,0.6
Jorge Masvidal,RECORD: 35-17-0,"5' 11""",170 lbs.,"74""",Orthodox,4.05,47%,3.05,64%,1.38,59%,72%,0.3
Santiago Ponzinibbio,RECORD: 30-7-0,"6' 0""",170 lbs.,"73""",Orthodox,4.90,41%,4.67,61%,0.48,30%,60%,0.0
Cynthia Calvillo,RECORD: 9-6-1,"5' 4""",115 lbs.,"64""",Orthodox,4.41,38%,4.12,64%,1.80,44%,77%,0.8
Shayilan Nuerdanbieke,RECORD: 39-11-0,"5' 8""",145 lbs.,"69""",Orthodox,2.28,45%,2.94,50%,2.90,33%,40%,0.0
Steven Peterson,RECORD: 19-11-0,"5' 10""",145 lbs.,"70""",Orthodox,4.76,40%,5.94,53%,1.42,26%,64%,0.7
Gunnar Nelson,RECORD: 19-5-1,"5' 11""",170 lbs.,"72""",Switch,1.84,61%,3.00,49%,1.90,59%,66%,1.0
Jack Shore,RECORD: 17-1-0,"5' 8""",145 lbs.,"71""",Orthodox,3.84,58%,2.20,57%,3.42,40%,79%,0.7
Makwan Amirkhani,RECORD: 17-9-0,"5' 10""",145 lbs.,"72""",Southpaw,1.33,44%,2.98,46%,3.96,43%,35%,1.1
Omar Morales,RECORD: 11-4-0,"5' 11""",155 lbs.,"73""",Orthodox,3.42,40%,3.18,58%,0.46,100%,63%,0.0
Dusko Todorovic,RECORD: 12-4-0,"6' 1""",185 lbs.,"74""",Orthodox,5.54,57%,4.55,46%,0.96,12%,45%,0.0
Nikita Krylov,RECORD: 30-9-0,"6' 3""",205 lbs.,"77""",Orthodox,4.38,55%,2.47,44%,2.29,38%,53%,1.4
Guido Cannetti,RECORD: 10-8-0,"5' 6""",135 lbs.,"68""",Southpaw,3.44,55%,2.84,51%,2.27,55%,64%,0.4
Raphael Assuncao,RECORD: 28-10-0,"5' 5""",135 lbs.,"66""",Orthodox,3.22,42%,2.50,66%,1.65,39%,78%,0.2
Tony Gravely,RECORD: 23-9-0,"5' 5""",135 lbs.,"69""",Orthodox,3.82,48%,4.47,44%,5.40,41%,52%,0.3
Jon Jones,RECORD: 27-1-0 (1 NC),"6' 4""",248 lbs.,"84""",Orthodox,4.29,57%,2.22,64%,1.93,45%,95%,0.5
Trevin Jones,RECORD: 13-10-0 (1 NC),"5' 7""",135 lbs.,"70""",Southpaw,2.13,37%,4.29,39%,0.62,15%,60%,0.2
Derek Brunson,RECORD: 23-9-0,"6' 1""",185 lbs.,"77""",Southpaw,3.51,47%,3.05,51%,3.14,33%,85%,0.6
Julian Marquez,RECORD: 9-4-0,"6' 2""",185 lbs.,"72""",Orthodox,4.86,44%,4.99,51%,0.00,0%,53%,2.6
Mana Martinez,RECORD: 10-4-0,"5' 10""",135 lbs.,"70""",Orthodox,4.33,48%,4.94,50%,0.72,42%,25%,0.5
Jessica Penne,RECORD: 14-8-0,"5' 5""",115 lbs.,"67""",Orthodox,2.52,31%,4.75,46%,1.32,21%,36%,0.6
Augusto Sakai,RECORD: 16-5-1,"6' 3""",265 lbs.,"77""",Orthodox,4.60,49%,3.83,48%,0.23,40%,56%,0.0
Erick Gonzalez,RECORD: 14-8-0,"5' 11""",155 lbs.,"75""",Orthodox,2.40,36%,8.08,40%,6.00,55%,50%,0.0
Victor Martinez,RECORD: 13-5-0,"5' 8""",155 lbs.,"70""",Orthodox,8.65,50%,7.45,54%,0.86,50%,80%,0.0
Nurullo Aliev,RECORD: 9-0-0,"5' 10""",155 lbs.,"72""",Orthodox,2.50,51%,0.46,59%,3.06,44%,0%,0.0
Rafael Alves,RECORD: 20-12-0,"5' 8""",155 lbs.,"68""",Orthodox,1.85,48%,3.30,58%,0.29,25%,44%,1.5
Jordan Wright,RECORD: 12-5-0 (1 NC),"6' 2""",205 lbs.,"77""",Orthodox,4.10,56%,6.03,31%,2.09,45%,100%,0.4
William Knight,RECORD: 11-5-0,"5' 10""",205 lbs.,"73""",Orthodox,2.62,56%,3.30,35%,1.78,40%,48%,0.4
Lina Lansberg,RECORD: 10-8-0,"5' 7""",135 lbs.,"65""",Orthodox,2.69,55%,3.87,44%,0.52,27%,47%,0.1
Khusein Askhabov,RECORD: 23-1-0,"5' 8""",145 lbs.,"69""",Orthodox,2.00,26%,4.13,56%,0.00,0%,66%,0.0
Clayton Carpenter,RECORD: 7-0-0,"5' 6""",125 lbs.,"66""",Orthodox,4.50,51%,2.85,60%,2.47,50%,0%,2.5
Juancamilo Ronderos,RECORD: 4-2-0,"5' 3""",125 lbs.,"64""",Southpaw,2.18,30%,2.18,63%,2.72,33%,0%,0.0
Don Shainis,RECORD: 12-5-0,"5' 6""",145 lbs.,"67""",Orthodox,3.42,50%,5.87,31%,0.97,25%,20%,1.9
Zubaira Tukhugov,RECORD: 20-6-1,"5' 8""",155 lbs.,"68""",Orthodox,3.17,39%,3.07,63%,2.13,39%,100%,0.0
Dooho Choi,RECORD: 14-4-1,"5' 10""",145 lbs.,"70""",Orthodox,4.74,53%,4.91,54%,0.29,20%,50%,0.0
Yizha,RECORD: 25-4-0,"5' 7""",145 lbs.,"71""",Orthodox,2.82,44%,2.20,54%,4.55,32%,59%,1.4
SeungGuk Choi,RECORD: 7-3-0,"5' 6""",125 lbs.,"64""",Orthodox,2.69,42%,2.69,65%,1.02,27%,74%,0.0
Glover Teixeira,RECORD: 33-9-0,"6' 2""",205 lbs.,"76""",Orthodox,3.73,49%,4.43,51%,2.11,33%,60%,0.9
Lauren Murphy,RECORD: 16-6-0,"5' 5""",125 lbs.,"67""",Orthodox,4.05,39%,5.25,55%,1.03,25%,69%,0.1
Mauricio Rua,RECORD: 27-14-1,"6' 1""",205 lbs.,"76""",Orthodox,3.57,50%,2.79,54%,2.01,48%,49%,0.7
Mounir Lazzez,RECORD: 11-3-0,"6' 1""",170 lbs.,"76""",Orthodox,7.49,55%,5.42,53%,1.80,57%,71%,0.0
Shamil Abdurakhimov,RECORD: 20-8-0,"6' 3""",235 lbs.,"76""",Orthodox,2.41,44%,3.02,55%,1.01,23%,45%,0.1
Saimon Oliveira,RECORD: 18-5-0,"5' 4""",135 lbs.,"72""",Orthodox,2.82,41%,3.91,48%,1.21,25%,35%,1.6
Allan Nascimento,RECORD: 20-6-0,"5' 8""",125 lbs.,"69""",Orthodox,3.21,61%,2.28,50%,1.55,26%,16%,0.9
Cheyanne Vlismas,RECORD: 7-3-0,"5' 3""",115 lbs.,"63""",Switch,4.93,50%,2.57,64%,0.25,33%,66%,0.2
Saidyokub Kakhramonov,RECORD: 10-3-0,"5' 8""",135 lbs.,"69""",Orthodox,2.05,51%,0.88,58%,6.63,48%,83%,1.9
Sergey Morozov,RECORD: 19-5-0,"5' 6""",135 lbs.,"67""",Orthodox,3.01,43%,2.97,61%,3.63,31%,68%,0.0
Darren Till,RECORD: 18-5-1,"6' 0""",185 lbs.,"74""",Southpaw,2.30,46%,3.31,56%,0.55,46%,69%,0.0
Jay Perrin,RECORD: 10-7-0,"5' 7""",135 lbs.,"67""",Switch,3.71,46%,3.90,44%,2.83,52%,58%,0.0
Dalcha Lungiambula,RECORD: 11-6-0,"5' 8""",185 lbs.,"76""",Orthodox,3.07,45%,3.93,52%,2.14,45%,77%,0.0
Steven Koslow,RECORD: 6-1-0,"5' 7""",125 lbs.,"69""",Switch,0.77,37%,3.73,40%,5.28,55%,0%,1.1
Kyle Daukaus,RECORD: 11-4-0 (1 NC),"6' 3""",185 lbs.,"76""",Southpaw,3.22,52%,2.94,42%,2.12,25%,82%,1.9
Scott Holtzman,RECORD: 14-6-0,"5' 9""",155 lbs.,"69""",Orthodox,4.32,47%,3.66,55%,1.88,56%,67%,0.2
Marcelo Rojo,RECORD: 16-10-0,"5' 8""",145 lbs.,"71""",Orthodox,4.92,39%,6.42,55%,0.46,50%,66%,0.0
Vince Morales,RECORD: 11-7-0,"5' 9""",135 lbs.,"70""",Orthodox,4.17,37%,4.24,53%,0.14,25%,64%,0.0
Ricky Turcios,RECORD: 13-3-0,"5' 9""",135 lbs.,"71""",Orthodox,5.08,37%,3.70,55%,1.00,25%,45%,0.2
Kevin Natividad,RECORD: 9-4-0,"5' 6""",135 lbs.,"70""",Orthodox,2.68,34%,4.29,47%,3.66,50%,83%,0.0
Carla Esparza,RECORD: 20-7-0,"5' 1""",115 lbs.,"63""",Orthodox,2.16,40%,2.69,55%,3.22,35%,47%,0.3
