Fighter Name,Record,Height,Weight,Reach,Stance,SLpM,Str. Acc,SApM,Str. Def,TD Avg,TD Acc,TD Def,Sub. Avg
Victor Hugo,RECORD: 25-4-0,"5' 7""",135 lbs.,"71""",Orthodox,3.46,51%,2.25,61%,0.67,50%,87%,1.4
Pedro Falcao,RECORD: 16-4-0,"5' 6""",135 lbs.,"66""",Orthodox,2.90,48%,2.63,48%,2.07,22%,83%,0.0
Jean Matsumoto,RECORD: 15-0-0,"5' 6""",135 lbs.,"68""",Orthodox,4.76,38%,4.52,51%,1.20,50%,56%,0.6
Dan Argueta,RECORD: 9-2-0 (2 NC),"5' 7""",135 lbs.,"68""",Southpaw,2.18,45%,1.90,51%,4.45,48%,57%,1.6
Cesar Almeida,RECORD: 5-0-0,"6' 1""",185 lbs.,"74""",Orthodox,4.50,64%,1.31,50%,0.00,0%,62%,0.0
Dylan Budka,RECORD: 7-3-0,"6' 0""",185 lbs.,"75""",Switch,1.04,60%,1.80,34%,3.38,38%,100%,0.7
Nora Cornolle,RECORD: 8-1-0,"5' 7""",135 lbs.,"67""",Orthodox,3.29,59%,1.26,56%,0.00,0%,50%,0.0
Melissa Mullins,RECORD: 6-1-0,"5' 7""",135 lbs.,"68""",Orthodox,2.73,52%,3.64,47%,0.65,20%,75%,0.0
Manon Fiorot,RECORD: 12-1-0,"5' 7""",125 lbs.,"65""",Orthodox,6.26,41%,3.77,68%,1.17,42%,93%,0.0
Erin Blanchfield,RECORD: 12-2-0,"5' 4""",125 lbs.,"66""",Orthodox,5.47,45%,4.34,58%,2.05,33%,81%,1.0
Joaquin Buckley,RECORD: 18-6-0,"5' 10""",170 lbs.,"76""",Southpaw,4.06,34%,3.26,58%,1.40,36%,69%,0.0
Vicente Luque,RECORD: 22-10-1,"5' 11""",170 lbs.,"75""",Orthodox,5.07,52%,5.21,52%,1.00,53%,62%,0.6
Chris Weidman,RECORD: 16-7-0,"6' 2""",185 lbs.,"78""",Orthodox,3.18,45%,3.22,51%,3.44,42%,65%,0.8
Bruno Silva,RECORD: 23-11-0,"6' 0""",185 lbs.,"74""",Orthodox,4.12,49%,5.45,41%,0.93,27%,73%,0.0
Nursulton Ruziboev,RECORD: 34-8-2 (2 NC),"6' 5""",185 lbs.,"76""",Orthodox,3.93,43%,0.87,80%,3.27,100%,0%,0.0
Sedriques Dumas,RECORD: 9-2-0,"6' 2""",185 lbs.,"79""",Orthodox,1.76,45%,2.14,57%,0.71,50%,40%,0.4
Kyle Nelson,RECORD: 16-5-1,"5' 11""",145 lbs.,"71""",Switch,3.65,45%,4.69,52%,1.10,20%,73%,0.6
Bill Algeo,RECORD: 18-8-0,"6' 0""",145 lbs.,"73""",Switch,6.16,52%,4.52,47%,0.86,46%,56%,0.1
Chidi Njokuani,RECORD: 23-10-0 (1 NC),"6' 3""",170 lbs.,"80""",Orthodox,4.09,61%,2.94,55%,0.00,0%,74%,0.2
Rhys McKee,RECORD: 13-6-1,"6' 2""",170 lbs.,"78""",Orthodox,4.80,45%,7.85,42%,0.00,0%,41%,0.0
Nate Landwehr,RECORD: 18-5-0,"5' 9""",145 lbs.,"72""",Orthodox,6.25,46%,5.75,55%,1.00,41%,86%,1.0
Jamall Emmers,RECORD: 20-8-0,"5' 10""",145 lbs.,"74""",Orthodox,5.30,48%,4.05,57%,1.83,40%,90%,0.2
Virna Jandiroba,RECORD: 20-3-0,"5' 3""",115 lbs.,"64""",Orthodox,2.30,38%,2.96,57%,2.36,36%,73%,1.2
Loopy Godinez,RECORD: 12-4-0,"5' 2""",115 lbs.,"61""",Orthodox,4.13,48%,3.58,63%,3.04,46%,84%,1.0
Julio Arce,RECORD: 19-6-0,"5' 7""",145 lbs.,"70""",Southpaw,4.36,36%,3.05,68%,0.46,28%,96%,0.3
Herbert Burns,RECORD: 11-5-0,"5' 9""",145 lbs.,"73""",Orthodox,1.73,40%,4.60,41%,3.00,42%,66%,2.5
Dennis Buzukja,RECORD: 12-4-0,"5' 9""",145 lbs.,"70""",Switch,4.16,42%,5.09,45%,0.80,30%,72%,0.3
Connor Matthews,RECORD: 7-2-0,"5' 8""",145 lbs.,"71""",Switch,5.30,44%,6.19,56%,2.97,53%,50%,0.7
Ibo Aslan,RECORD: 13-1-0,"6' 3""",205 lbs.,"77""",Orthodox,6.83,45%,4.53,64%,0.00,0%,100%,0.0
Anton Turkalj,RECORD: 8-4-0,"6' 4""",205 lbs.,"78""",Orthodox,2.45,42%,3.42,54%,4.98,41%,16%,0.0
Jacob Malkoun,RECORD: 8-3-0,"5' 9""",185 lbs.,"73""",Orthodox,3.86,56%,2.48,52%,6.62,42%,20%,0.4
Andre Petroski,RECORD: 10-4-0,"6' 0""",185 lbs.,"73""",Switch,3.50,49%,3.08,51%,4.32,54%,80%,2.3
