,Win/Loss,Fighters,KD,Str,Td,Sub,Weight Class,Method,Round,Time,Event Name,Date,Location,Opponent,Record,Height,Weight,Reach,Stance,SLpM,Str. Acc,SApM,Str. Def,TD Avg,TD Acc,TD Def,Sub. Avg,Year
1552,WIN,Nikita Krylov,0,57,7,1,Light Heavyweight,U-DEC,3,5:00,UFC 280: Oliveira vs. Makhachev,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Volkan Oezdemir,RECORD: 30-9-0,"6' 3""",205 lbs.,"77""",Orthodox,4.38,0.55,2.47,44%,2.29,38%,53%,1.4,2022
1553,LOSS,Volkan Oezdemir,0,42,1,0,Light Heavyweight,U-DEC,3,5:00,UFC 280: Oliveira vs. Makhachev,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Nikita Krylov,RECORD: 19-7-0,"6' 2""",205 lbs.,"75""",Orthodox,4.59,0.47,3.92,55%,0.57,33%,80%,0.1,2022
1554,WIN,Abubakar Nurmagomedov,0,40,1,0,Welterweight,U-DEC,3,5:00,UFC 280: Oliveira vs. Makhachev,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Gadzhi Omargadzhiev,RECORD: 17-4-1,"5' 11""",170 lbs.,"72""",Orthodox,2.78,0.53,2.61,65%,1.25,22%,88%,0.0,2022
1555,LOSS,Gadzhi Omargadzhiev,0,38,1,0,Welterweight,U-DEC,3,5:00,UFC 280: Oliveira vs. Makhachev,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Abubakar Nurmagomedov,RECORD: 13-2-0,"6' 1""",170 lbs.,"71""",Switch,1.8,0.39,2.2,39%,1.35,30%,60%,0.5,2022
1556,WIN,Armen Petrosyan,0,118,0,0,Middleweight,U-DEC,3,5:00,UFC 280: Oliveira vs. Makhachev,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",AJ Dobson,RECORD: 9-3-0,"6' 3""",185 lbs.,"71""",Orthodox,5.69,0.52,2.9,56%,0.22,33%,31%,0.0,2022
1557,LOSS,AJ Dobson,0,58,3,0,Middleweight,U-DEC,3,5:00,UFC 280: Oliveira vs. Makhachev,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Armen Petrosyan,RECORD: 7-3-0 (1 NC),"6' 1""",185 lbs.,"76""",Orthodox,4.29,0.46,5.31,46%,1.67,75%,65%,0.3,2022
1558,WIN,Muhammad Mokaev,0,21,6,1,Flyweight,"SUB, Armbar",3,4:26,UFC 280: Oliveira vs. Makhachev,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Malcolm Gordon,RECORD: 12-0-0 (1 NC),"5' 7""",125 lbs.,"70""",Orthodox,1.53,0.48,1.36,57%,5.75,41%,0%,1.0,2022
1559,LOSS,Malcolm Gordon,0,17,1,1,Flyweight,"SUB, Armbar",3,4:26,UFC 280: Oliveira vs. Makhachev,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Muhammad Mokaev,RECORD: 14-8-0,"5' 7""",125 lbs.,"71""",Switch,2.5,0.45,2.0,43%,1.72,35%,26%,1.0,2022
1560,WIN,Karol Rosa,0,54,3,0,Women's,M-DEC,3,5:00,UFC 280: Oliveira vs. Makhachev,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Lina Lansberg,RECORD: 17-6-0,"5' 5""",135 lbs.,"67""",Orthodox,6.34,0.56,4.78,49%,1.22,45%,68%,0.0,2022
1561,LOSS,Lina Lansberg,1,36,0,0,Women's,M-DEC,3,5:00,UFC 280: Oliveira vs. Makhachev,2022-10-22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Karol Rosa,RECORD: 10-8-0,"5' 7""",135 lbs.,"65""",Orthodox,2.69,0.55,3.87,44%,0.52,27%,47%,0.1,2022
1562,WIN,Alexa Grasso,0,153,0,0,Women's,U-DEC,5,5:00,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Viviane Araujo,RECORD: 16-3-1,"5' 5""",125 lbs.,"66""",Orthodox,4.67,0.43,3.95,58%,0.41,45%,59%,0.6,2022
1563,LOSS,Viviane Araujo,0,126,2,0,Women's,U-DEC,5,5:00,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Alexa Grasso,RECORD: 12-6-0,"5' 4""",125 lbs.,"68""",Orthodox,4.11,0.47,4.96,56%,1.76,40%,78%,0.6,2022
1564,WIN,Jonathan Martinez,2,62,0,0,Bantamweight,"KO/TKO, Kick",2,4:19,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Cub Swanson,RECORD: 19-4-0,"5' 8""",135 lbs.,"70""",Southpaw,4.64,0.5,3.76,58%,0.44,41%,69%,0.1,2022
1565,LOSS,Cub Swanson,0,51,1,0,Bantamweight,"KO/TKO, Kick",2,4:19,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Jonathan Martinez,RECORD: 29-13-0,"5' 8""",145 lbs.,"70""",Orthodox,4.7,0.5,3.84,59%,1.09,52%,61%,0.4,2022
1566,WIN,Dusko Todorovic,0,61,0,0,Middleweight,"KO/TKO, Elbows",2,3:12,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Jordan Wright,RECORD: 12-4-0,"6' 1""",185 lbs.,"74""",Orthodox,5.54,0.57,4.55,46%,0.96,12%,45%,0.0,2022
1567,LOSS,Jordan Wright,0,25,3,1,Middleweight,"KO/TKO, Elbows",2,3:12,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Dusko Todorovic,RECORD: 12-5-0 (1 NC),"6' 2""",205 lbs.,"77""",Orthodox,4.1,0.56,6.03,31%,2.09,45%,100%,0.4,2022
1568,WIN,Raphael Assuncao,0,60,2,0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Victor Henry,RECORD: 28-10-0,"5' 5""",135 lbs.,"66""",Orthodox,3.22,0.42,2.5,66%,1.65,39%,78%,0.2,2022
1569,LOSS,Victor Henry,0,55,0,0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Raphael Assuncao,RECORD: 23-6-0 (1 NC),"5' 7""",135 lbs.,"68""",Switch,8.26,0.54,5.95,47%,0.0,0%,78%,0.6,2022
1570,WIN,Alonzo Menifield,1,8,0,0,Light Heavyweight,"KO/TKO, Punches",1,1:28,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Misha Cirkunov,RECORD: 15-3-1,"6' 0""",205 lbs.,"76""",Orthodox,3.92,0.57,3.51,49%,0.67,33%,75%,0.3,2022
1571,LOSS,Misha Cirkunov,0,5,0,0,Light Heavyweight,"KO/TKO, Punches",1,1:28,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Alonzo Menifield,RECORD: 15-9-0,"6' 3""",205 lbs.,"77""",Orthodox,3.86,0.51,3.06,57%,4.15,39%,76%,1.7,2022
1572,WIN,Mana Martinez,2,87,1,0,Bantamweight,S-DEC,3,5:00,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Brandon Davis,RECORD: 10-4-0,"5' 10""",135 lbs.,"70""",Orthodox,4.33,0.48,4.94,50%,0.72,42%,25%,0.5,2022
1573,LOSS,Brandon Davis,0,76,1,0,Bantamweight,S-DEC,3,5:00,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Mana Martinez,RECORD: 14-10-0,"5' 10""",135 lbs.,"72""",Orthodox,4.68,0.35,4.62,58%,0.74,42%,57%,0.1,2022
1574,WIN,Jacob Malkoun,0,83,9,0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Nick Maximov,RECORD: 8-3-0,"5' 9""",185 lbs.,"73""",Orthodox,3.86,0.56,2.48,52%,6.62,42%,20%,0.4,2022
1575,LOSS,Nick Maximov,0,34,0,0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Jacob Malkoun,RECORD: 8-2-0,"6' 0""",185 lbs.,"76""",Southpaw,1.93,0.45,2.64,46%,4.16,45%,35%,0.2,2022
1576,WIN,Joanderson Brito,0,4,2,1,Featherweight,"SUB, Rear Naked Choke",1,2:02,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Lucas Alexander,RECORD: 16-3-1,"5' 8""",145 lbs.,"72""",Orthodox,3.32,0.51,2.62,47%,3.4,75%,50%,0.8,2022
1577,LOSS,Lucas Alexander,0,1,0,0,Featherweight,"SUB, Rear Naked Choke",1,2:02,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Joanderson Brito,RECORD: 8-4-0,"5' 11""",145 lbs.,"73""",Orthodox,5.23,0.55,1.83,71%,0.0,0%,57%,0.0,2022
1578,WIN,Piera Rodriguez,0,83,5,0,Women's,U-DEC,3,5:00,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Sam Hughes,RECORD: 9-1-0,"5' 3""",115 lbs.,"63""",Orthodox,3.46,0.46,2.98,57%,3.31,41%,66%,0.0,2022
1579,LOSS,Sam Hughes,0,69,0,0,Women's,U-DEC,3,5:00,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Piera Rodriguez,RECORD: 8-6-0,"5' 5""",115 lbs.,"64""",Orthodox,4.03,0.45,4.51,56%,0.96,30%,57%,0.0,2022
1580,WIN,Tatsuro Taira,0,22,3,2,Flyweight,"SUB, Armbar",2,4:19,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",CJ Vergara,RECORD: 15-0-0,"5' 7""",125 lbs.,"70""",Orthodox,3.51,0.71,1.15,47%,2.12,41%,71%,2.4,2022
1581,LOSS,CJ Vergara,0,19,0,0,Flyweight,"SUB, Armbar",2,4:19,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Tatsuro Taira,RECORD: 12-5-1,"5' 6""",125 lbs.,"68""",Orthodox,5.24,0.57,4.62,52%,0.0,0%,60%,0.2,2022
1582,WIN,Pete Rodriguez,1,22,0,0,Welterweight,"KO/TKO, Knee",1,1:33,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Mike Jackson,RECORD: 5-2-0,"5' 9""",170 lbs.,"71""",Switch,9.28,0.43,12.83,42%,0.0,0%,100%,0.0,2022
1583,LOSS,Mike Jackson,0,10,0,0,Welterweight,"KO/TKO, Knee",1,1:33,UFC Fight Night: Grasso vs. Araujo,2022-10-15,"Las Vegas, Nevada, USA",Pete Rodriguez,RECORD: 1-2-0 (1 NC),"6' 2""",170 lbs.,"74""",Orthodox,4.49,0.57,3.73,62%,0.71,33%,88%,0.0,2022
1584,WIN,Yan Xiaonan,0,113,0,0,Women's,M-DEC,5,5:00,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Mackenzie Dern,RECORD: 18-4-0 (1 NC),"5' 5""",115 lbs.,"63""",Orthodox,4.97,0.44,3.66,58%,1.0,73%,62%,0.0,2022
1585,LOSS,Mackenzie Dern,0,61,2,2,Women's,M-DEC,5,5:00,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Yan Xiaonan,RECORD: 13-5-0,"5' 4""",115 lbs.,"63""",Orthodox,3.31,0.4,4.09,51%,0.79,15%,28%,1.3,2022
1586,WIN,Randy Brown,1,60,0,1,Welterweight,U-DEC,3,5:00,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Francisco Trinaldo,RECORD: 18-5-0,"6' 3""",170 lbs.,"78""",Orthodox,4.37,0.46,3.33,54%,0.78,39%,74%,0.5,2022
1587,LOSS,Francisco Trinaldo,0,40,1,0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Randy Brown,RECORD: 28-9-0,"5' 9""",170 lbs.,"70""",Southpaw,3.13,0.45,2.67,60%,0.98,42%,60%,0.5,2022
1588,WIN,Raoni Barcelos,1,73,2,0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Trevin Jones,RECORD: 18-5-0,"5' 7""",135 lbs.,"67""",Orthodox,5.22,0.51,4.79,61%,1.86,32%,85%,0.6,2022
1589,LOSS,Trevin Jones,0,11,0,0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Raoni Barcelos,RECORD: 13-10-0 (1 NC),"5' 7""",135 lbs.,"70""",Southpaw,2.13,0.37,4.29,39%,0.62,15%,60%,0.2,2022
1590,WIN,Sodiq Yusuff,0,9,0,1,Featherweight,"SUB, Guillotine Choke",1,0:30,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Don Shainis,RECORD: 13-4-0,"5' 9""",145 lbs.,"71""",Orthodox,5.66,0.49,4.51,53%,0.28,20%,62%,0.4,2022
1591,LOSS,Don Shainis,0,3,0,0,Featherweight,"SUB, Guillotine Choke",1,0:30,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Sodiq Yusuff,RECORD: 12-5-0,"5' 6""",145 lbs.,"67""",Orthodox,3.42,0.5,5.87,31%,0.97,25%,20%,1.9,2022
1592,WIN,Mike Davis,0,65,9,1,Lightweight,U-DEC,3,5:00,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Viacheslav Borshchev,RECORD: 11-2-0,"6' 0""",155 lbs.,"72""",Orthodox,5.35,0.52,5.76,55%,2.77,53%,64%,0.4,2022
1593,LOSS,Viacheslav Borshchev,0,63,0,0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Mike Davis,RECORD: 7-3-1,"5' 11""",155 lbs.,"69""",Orthodox,5.82,0.58,4.07,56%,0.0,0%,36%,0.0,2022
1594,WIN,Daniel Santos,1,69,2,0,Catch,"KO/TKO, Knee",2,4:28,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",John Castaneda,RECORD: 12-2-0,"5' 7""",135 lbs.,"67""",Orthodox,4.26,0.37,5.12,50%,1.9,50%,73%,0.0,2022
1595,LOSS,John Castaneda,1,57,3,0,Catch,"KO/TKO, Knee",2,4:28,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Daniel Santos,RECORD: 21-6-0,"5' 6""",135 lbs.,"71""",Switch,4.79,0.5,4.99,56%,1.92,37%,71%,0.2,2022
1596,WIN,Ilir Latifi,0,38,3,0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Aleksei Oleinik,RECORD: 17-9-0 (1 NC),"5' 10""",230 lbs.,"73""",Orthodox,2.05,0.45,2.93,56%,2.11,35%,100%,0.3,2022
1597,LOSS,Aleksei Oleinik,0,28,0,0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Ilir Latifi,RECORD: 60-17-1,"6' 2""",240 lbs.,"80""",Orthodox,3.29,0.48,3.8,44%,1.82,46%,37%,1.9,2022
1598,WIN,Joaquim Silva,1,45,0,0,Lightweight,"KO/TKO, Flying Knee",2,3:08,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Jesse Ronson,RECORD: 13-5-0,"5' 8""",155 lbs.,"69""",Southpaw,3.61,0.41,4.51,54%,0.45,60%,64%,0.7,2022
1599,LOSS,Jesse Ronson,0,39,0,0,Lightweight,"KO/TKO, Flying Knee",2,3:08,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Joaquim Silva,RECORD: 21-12-0 (1 NC),"5' 10""",155 lbs.,"70""",Southpaw,3.54,0.47,3.39,57%,0.46,28%,57%,0.5,2022
1600,WIN,Brendan Allen,0,3,1,1,Middleweight,"SUB, Rear Naked Choke",1,4:17,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Krzysztof Jotko,RECORD: 24-5-0,"6' 2""",185 lbs.,"75""",Orthodox,3.98,0.53,3.83,47%,1.74,47%,58%,1.4,2022
1601,LOSS,Krzysztof Jotko,0,3,0,0,Middleweight,"SUB, Rear Naked Choke",1,4:17,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Brendan Allen,RECORD: 24-6-0,"6' 1""",185 lbs.,"77""",Southpaw,2.98,0.42,2.23,57%,1.33,39%,82%,0.1,2022
1602,WIN,Chelsea Chandler,0,38,0,0,Catch,"KO/TKO, Punches",1,4:15,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Julija Stoliarenko,RECORD: 6-2-0,"5' 8""",135 lbs.,"68""",Southpaw,3.45,0.45,3.09,49%,1.31,60%,33%,0.0,2022
1603,LOSS,Julija Stoliarenko,0,12,1,0,Catch,"KO/TKO, Punches",1,4:15,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Chelsea Chandler,RECORD: 11-9-2,"5' 7""",125 lbs.,"66""",Orthodox,2.49,0.39,4.54,46%,0.93,27%,54%,1.7,2022
1604,WIN,Guido Cannetti,0,8,1,1,Bantamweight,"SUB, Rear Naked Choke",1,1:04,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Randy Costa,RECORD: 10-8-0,"5' 6""",135 lbs.,"68""",Southpaw,3.44,0.55,2.84,51%,2.27,55%,64%,0.4,2022
1605,LOSS,Randy Costa,0,2,0,0,Bantamweight,"SUB, Rear Naked Choke",1,1:04,UFC Fight Night: Dern vs. Yan,2022-10-01,"Las Vegas, Nevada, USA",Guido Cannetti,RECORD: 6-4-0,"5' 9""",135 lbs.,"73""",Switch,6.53,0.46,7.58,58%,0.0,0%,50%,0.0,2022
1606,WIN,Cory Sandhagen,0,94,1,0,Bantamweight,KO/TKO,4,5:00,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Song Yadong,RECORD: 17-4-0,"5' 11""",135 lbs.,"70""",Switch,5.33,0.44,3.4,58%,1.36,33%,64%,0.3,2022
1607,LOSS,Song Yadong,0,54,2,0,Bantamweight,KO/TKO,4,5:00,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Cory Sandhagen,RECORD: 21-8-1 (1 NC),"5' 8""",135 lbs.,"67""",Orthodox,4.49,0.43,3.96,55%,0.66,40%,72%,0.2,2022
1608,WIN,Gregory Rodrigues,1,48,1,0,Middleweight,"KO/TKO, Punches",2,1:27,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Chidi Njokuani,RECORD: 15-5-0,"6' 3""",185 lbs.,"75""",Orthodox,6.08,0.55,5.3,51%,2.46,45%,100%,0.5,2022
1609,LOSS,Chidi Njokuani,0,44,0,0,Middleweight,"KO/TKO, Punches",2,1:27,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Gregory Rodrigues,RECORD: 23-10-0 (1 NC),"6' 3""",170 lbs.,"80""",Orthodox,4.09,0.61,2.94,55%,0.0,0%,74%,0.2,2022
1610,WIN,Andre Fili,0,59,1,2,Featherweight,S-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Bill Algeo,RECORD: 23-11-0 (1 NC),"5' 11""",145 lbs.,"74""",Orthodox,3.85,0.37,4.11,51%,2.16,47%,69%,0.3,2022
1611,LOSS,Bill Algeo,0,81,0,0,Featherweight,S-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Andre Fili,RECORD: 18-8-0,"6' 0""",145 lbs.,"73""",Switch,6.16,0.52,4.52,47%,0.86,46%,56%,0.1,2022
1612,WIN,Joe Pyfer,1,14,0,0,Middleweight,"KO/TKO, Punches",1,3:55,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Alen Amedovski,RECORD: 12-3-0,"6' 2""",185 lbs.,"75""",Orthodox,3.66,0.4,3.58,51%,1.49,41%,50%,0.9,2022
1613,LOSS,Alen Amedovski,0,11,0,0,Middleweight,"KO/TKO, Punches",1,3:55,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Joe Pyfer,RECORD: 8-4-0,"5' 10""",185 lbs.,"74""",Orthodox,0.99,0.3,3.85,46%,0.0,0%,0%,0.0,2022
1614,WIN,Rodrigo Nascimento,0,36,3,1,Heavyweight,S-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Tanner Boser,RECORD: 11-1-0 (1 NC),"6' 2""",246 lbs.,"80""",Orthodox,4.31,0.48,4.76,43%,1.2,33%,77%,0.7,2022
1615,LOSS,Tanner Boser,0,62,0,0,Heavyweight,S-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Rodrigo Nascimento,RECORD: 21-10-1,"6' 2""",205 lbs.,"75""",Orthodox,4.7,0.52,2.75,58%,0.0,0%,63%,0.0,2022
1616,WIN,Anthony Hernandez,0,39,8,2,Middleweight,"SUB, Arm Triangle",3,1:53,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Marc-Andre Barriault,RECORD: 12-2-0 (1 NC),"6' 0""",185 lbs.,"75""",Orthodox,4.3,0.59,3.46,45%,6.62,49%,63%,3.0,2022
1617,LOSS,Marc-Andre Barriault,0,25,0,0,Middleweight,"SUB, Arm Triangle",3,1:53,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Anthony Hernandez,RECORD: 16-7-0 (1 NC),"6' 1""",185 lbs.,"74""",Orthodox,6.19,0.47,5.67,52%,0.22,25%,67%,0.1,2022
1618,WIN,Damon Jackson,0,11,1,0,Featherweight,"KO/TKO, Punches",1,1:09,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Pat Sabatini,RECORD: 23-6-1 (1 NC),"5' 11""",145 lbs.,"71""",Switch,3.0,0.41,3.29,51%,2.51,35%,40%,1.4,2022
1619,LOSS,Pat Sabatini,0,1,0,0,Featherweight,"KO/TKO, Punches",1,1:09,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Damon Jackson,RECORD: 18-5-0,"5' 8""",145 lbs.,"70""",Orthodox,2.02,0.59,1.54,49%,3.73,42%,50%,1.9,2022
1620,WIN,Trevin Giles,0,25,2,0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Louis Cosce,RECORD: 16-6-0,"6' 0""",170 lbs.,"74""",Orthodox,3.27,0.55,2.22,58%,1.19,50%,71%,0.3,2022
1621,LOSS,Louis Cosce,0,10,1,1,Welterweight,U-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Trevin Giles,RECORD: 7-2-0,"5' 9""",170 lbs.,"71""",Orthodox,4.31,0.45,5.35,47%,1.04,20%,50%,0.5,2022
1622,WIN,Loma Lookboonmee,0,48,4,0,Women's,U-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Denise Gomes,RECORD: 9-3-0,"5' 1""",115 lbs.,"61""",Orthodox,4.1,0.57,2.48,53%,1.9,50%,72%,0.1,2022
1623,LOSS,Denise Gomes,0,19,0,3,Women's,U-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Loma Lookboonmee,RECORD: 8-3-0,"5' 2""",115 lbs.,"63""",Orthodox,4.81,0.48,3.66,49%,1.13,33%,47%,0.8,2022
1624,WIN,Trey Ogden,0,71,1,0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Daniel Zellhuber,RECORD: 17-6-0 (1 NC),"5' 11""",155 lbs.,"72""",Orthodox,3.38,0.47,3.59,58%,1.64,23%,100%,0.6,2022
1625,LOSS,Daniel Zellhuber,0,52,0,0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Trey Ogden,RECORD: 15-1-0,"6' 1""",155 lbs.,"77""",Switch,5.86,0.41,5.06,56%,0.22,33%,94%,0.2,2022
1626,WIN,Gillian Robertson,0,4,3,1,Women's,"SUB, Rear Naked Choke",2,2:19,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Mariya Agapova,RECORD: 13-8-0,"5' 5""",115 lbs.,"63""",Orthodox,2.61,0.46,3.12,56%,2.53,43%,43%,1.0,2022
1627,LOSS,Mariya Agapova,0,39,0,1,Women's,"SUB, Rear Naked Choke",2,2:19,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Gillian Robertson,RECORD: 10-4-0,"5' 6""",125 lbs.,"68""",Southpaw,4.67,0.55,3.82,52%,0.59,66%,47%,0.9,2022
1628,WIN,Javid Basharat,0,80,2,0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Tony Gravely,RECORD: 14-1-0 (1 NC),"5' 9""",135 lbs.,"69""",Orthodox,5.42,0.53,2.97,62%,1.7,40%,85%,0.2,2022
1629,LOSS,Tony Gravely,0,33,2,0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Javid Basharat,RECORD: 23-9-0,"5' 5""",135 lbs.,"69""",Orthodox,3.82,0.48,4.47,44%,5.4,41%,52%,0.3,2022
1630,WIN,Nikolas Motta,1,24,0,0,Lightweight,"KO/TKO, Punches",1,3:49,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Cameron VanCamp,RECORD: 14-5-0 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,3.08,0.33,4.78,51%,0.0,0%,82%,0.0,2022
1631,LOSS,Cameron VanCamp,0,15,0,0,Lightweight,"KO/TKO, Punches",1,3:49,UFC Fight Night: Sandhagen vs. Song,2022-09-17,"Las Vegas, Nevada, USA",Nikolas Motta,RECORD: 15-7-1 (1 NC),"6' 2""",155 lbs.,"74""",Switch,5.31,0.47,6.41,40%,0.0,0%,0%,0.0,2022
1632,WIN,Nate Diaz,0,101,0,1,Welterweight,"SUB, Guillotine Choke",4,2:52,UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Tony Ferguson,RECORD: 22-13-0,"6' 0""",170 lbs.,"76""",Southpaw,4.57,0.45,3.77,52%,1.05,30%,41%,1.3,2022
