,Win/Loss,Fighters,KD,Str,Td,Sub,Weight Class,Method,Round,Time,Event Name,Date,Location,Opponent,Record,Height,Weight,Reach,Stance,SLpM,Str. Acc,SApM,Str. Def,TD Avg,TD Acc,TD Def,Sub. Avg,Year
18,WIN,Renato Moicano,0,36,2,0,Lightweight,"KO/TKO, Punches",2,4:11,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Jalin Turner,RECORD: 19-5-1,"5' 11""",155 lbs.,"72""",Orthodox,4.38,0.48,3.68,60%,1.89,45%,72%,0.6,2024
19,LOSS,Jalin Turner,1,16,0,0,Lightweight,"KO/TKO, Punches",2,4:11,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Renato Moicano,RECORD: 14-8-0,"6' 3""",155 lbs.,"77""",Southpaw,5.6,0.48,4.57,41%,0.79,55%,74%,1.1,2024
20,WIN,Jessica Andrade,0,89,1,0,Women's,S-DEC,3,5:00,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Marina Rodriguez,RECORD: 26-12-0,"5' 1""",115 lbs.,"62""",Orthodox,6.62,0.5,5.37,55%,2.37,55%,72%,0.3,2024
21,LOSS,Marina Rodriguez,0,82,0,1,Women's,S-DEC,3,5:00,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Jessica Andrade,RECORD: 17-4-2,"5' 6""",115 lbs.,"65""",Orthodox,4.82,0.47,3.12,55%,0.23,42%,65%,0.2,2024
22,WIN,Bobby Green,1,186,1,0,Lightweight,U-DEC,3,5:00,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Jim Miller,RECORD: 32-15-1 (1 NC),"5' 10""",155 lbs.,"71""",Orthodox,6.45,0.52,3.75,62%,1.19,38%,74%,0.3,2024
23,LOSS,Jim Miller,0,57,0,0,Lightweight,U-DEC,3,5:00,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Bobby Green,RECORD: 37-18-0 (1 NC),"5' 8""",155 lbs.,"71""",Southpaw,2.99,0.42,3.5,56%,1.53,44%,47%,1.7,2024
24,WIN,Deiveson Figueiredo,0,13,1,2,Bantamweight,"SUB, Rear Naked Choke",2,4:02,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Cody Garbrandt,RECORD: 23-3-1,"5' 5""",135 lbs.,"68""",Orthodox,3.01,0.55,3.38,50%,1.65,42%,58%,1.7,2024
25,LOSS,Cody Garbrandt,0,16,0,0,Bantamweight,"SUB, Rear Naked Choke",2,4:02,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Deiveson Figueiredo,RECORD: 14-6-0,"5' 8""",135 lbs.,"65""",Orthodox,2.98,0.4,3.76,60%,1.03,34%,80%,0.0,2024
26,WIN,Brendan Allen,0,112,6,0,Middleweight,S-DEC,5,5:00,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Chris Curtis,RECORD: 24-5-0,"6' 2""",185 lbs.,"75""",Orthodox,3.98,0.53,3.83,47%,1.74,47%,58%,1.4,2024
27,LOSS,Chris Curtis,0,124,0,0,Middleweight,S-DEC,5,5:00,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Brendan Allen,RECORD: 31-11-0 (1 NC),"5' 10""",185 lbs.,"75""",Orthodox,5.76,0.51,6.16,52%,0.0,0%,82%,0.0,2024
28,WIN,Damon Jackson,0,42,3,0,Featherweight,S-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Alexander Hernandez,RECORD: 23-6-1 (1 NC),"5' 11""",145 lbs.,"71""",Switch,3.0,0.41,3.29,51%,2.51,35%,40%,1.4,2024
29,LOSS,Alexander Hernandez,1,32,0,0,Featherweight,S-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Damon Jackson,RECORD: 14-8-0,"5' 9""",145 lbs.,"72""",Orthodox,4.33,0.41,4.66,55%,1.06,31%,59%,0.1,2024
30,WIN,Chepe Mariscal,0,71,1,0,Featherweight,S-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Morgan Charriere,RECORD: 16-6-1,"5' 7""",145 lbs.,"69""",Orthodox,4.7,0.52,3.68,52%,2.35,28%,66%,0.4,2024
31,LOSS,Morgan Charriere,0,49,2,1,Featherweight,S-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Chepe Mariscal,RECORD: 19-10-1,"5' 8""",145 lbs.,"69""",Orthodox,3.98,0.49,4.24,55%,1.59,40%,87%,0.8,2024
32,WIN,Ignacio Bahamondes,1,40,0,0,Lightweight,"KO/TKO, Kick",1,3:34,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Christos Giagos,RECORD: 15-5-0,"6' 3""",155 lbs.,"75""",Orthodox,7.15,0.46,4.38,57%,0.0,0%,85%,0.4,2024
33,LOSS,Christos Giagos,0,17,0,0,Lightweight,"KO/TKO, Kick",1,3:34,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Ignacio Bahamondes,RECORD: 20-12-0,"5' 10""",155 lbs.,"71""",Orthodox,3.03,0.41,3.21,50%,2.84,36%,52%,0.4,2024
34,WIN,Charlie Campbell,0,54,4,0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Trevor Peek,RECORD: 9-2-0,"6' 0""",155 lbs.,"72""",Orthodox,5.55,0.54,3.73,55%,2.95,40%,71%,0.0,2024
35,LOSS,Trevor Peek,0,47,2,0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Charlie Campbell,RECORD: 9-2-0 (1 NC),"5' 9""",155 lbs.,"70""",Switch,4.58,0.54,4.17,44%,1.82,53%,54%,0.0,2024
36,WIN,Alex Morono,0,38,0,1,Welterweight,U-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Court McGee,RECORD: 24-9-0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,4.87,0.4,4.16,58%,0.32,22%,55%,0.4,2024
37,LOSS,Court McGee,0,60,1,0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Alex Morono,RECORD: 22-13-0,"5' 11""",170 lbs.,"75""",Orthodox,4.6,0.37,3.62,61%,1.84,25%,69%,0.4,2024
38,WIN,Lukasz Brzeski,0,58,0,0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Valter Walker,RECORD: 9-4-1 (1 NC),"6' 4""",236 lbs.,"78""",Orthodox,4.78,0.49,3.15,56%,0.48,50%,36%,0.5,2024
39,LOSS,Valter Walker,0,33,4,0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Lukasz Brzeski,RECORD: 11-1-0,"6' 6""",265 lbs.,"78""",Orthodox,2.2,0.49,3.87,43%,4.0,80%,0%,0.0,2024
40,WIN,Norma Dumont,0,11,6,0,Women's,U-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Germaine de Randamie,RECORD: 11-2-0,"5' 7""",135 lbs.,"67""",Orthodox,3.11,0.49,1.89,66%,1.91,68%,72%,0.0,2024
41,LOSS,Germaine de Randamie,0,16,0,0,Women's,U-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Norma Dumont,RECORD: 10-5-0,"5' 9""",135 lbs.,"71""",Orthodox,2.57,0.46,2.0,65%,0.0,0%,65%,0.4,2024
42,WIN,Victor Hugo,1,68,0,0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Pedro Falcao,RECORD: 25-4-0,"5' 7""",135 lbs.,"71""",Orthodox,3.46,0.51,2.25,61%,0.67,50%,87%,1.4,2024
43,LOSS,Pedro Falcao,0,42,1,0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Victor Hugo,RECORD: 16-4-0,"5' 6""",135 lbs.,"66""",Orthodox,2.9,0.48,2.63,48%,2.07,22%,83%,0.0,2024
44,WIN,Jean Matsumoto,0,19,2,1,Bantamweight,"SUB, Guillotine Choke",2,4:59,UFC Fight Night: Allen vs. Curtis 2,2024-04-06,"Las Vegas, Nevada, USA",Dan Argueta,RECORD: 15-0-0,"5' 6""",135 lbs.,"68""",Orthodox,4.76,0.38,4.52,51%,1.2,50%,56%,0.6,2024
