Win/Loss,Fighters,KD,Str,Td,Sub,Weight Class,Method,Round,Time,Event Name,Date,Location
WIN,"Alex Pereira, Jamahal Hill","1, 0","24, 12","0, 0","0, 0",Light,"KO/TKO, Punch",1,3:14,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Zhang Weili, Yan Xiaonan","0, 1","106, 43","6, 3","2, 0",Women's,U-DEC,5,5:00,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Max Holloway, Justin Gaethje","1, 0","181, 103","0, 0","0, 0",Lightweight,"KO/TKO, Punch",5,4:59,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Arman Tsarukyan, Charles Oliveira","0, 0","49, 19","2, 0","0, 4",Lightweight,S-DEC,3,5:00,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Bo Nickal, Cody Brundage","0, 0","8, 4","3, 0","2, 0",Middleweight,"SUB, Rear Naked Choke",2,3:38,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Jiri Prochazka, Aleksandar Rakic","0, 0","69, 58","1, 0","0, 0",Light,"KO/TKO, Punches",2,3:17,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Aljamain Sterling, Calvin Kattar","0, 0","39, 8","8, 0","0, 0",Featherweight,U-DEC,3,5:00,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Kayla Harrison, Holly Holm","0, 0","51, 2","2, 0","1, 0",Women's,"SUB, Rear Naked Choke",2,1:47,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Diego Lopes, Sodiq Yusuff","2, 0","26, 2","0, 0","0, 0",Featherweight,"KO/TKO, Punches",1,1:29,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Renato Moicano, Jalin Turner","0, 1","36, 16","2, 0","0, 0",Lightweight,"KO/TKO, Punches",2,4:11,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Jessica Andrade, Marina Rodriguez","0, 0","89, 82","1, 0","0, 1",Women's,S-DEC,3,5:00,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Bobby Green, Jim Miller","1, 0","186, 57","1, 0","0, 0",Lightweight,U-DEC,3,5:00,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Deiveson Figueiredo, Cody Garbrandt","0, 0","13, 16","1, 0","2, 0",Bantamweight,"SUB, Rear Naked Choke",2,4:02,UFC 300: Pereira vs. Hill,"DATE: April 13, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Brendan Allen, Chris Curtis","0, 0","112, 124","6, 0","0, 0",Middleweight,S-DEC,5,5:00,UFC Fight Night: Allen vs. Curtis 2,"DATE: April 06, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Damon Jackson, Alexander Hernandez","0, 1","42, 32","3, 0","0, 0",Featherweight,S-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,"DATE: April 06, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Chepe Mariscal, Morgan Charriere","0, 0","71, 49","1, 2","0, 1",Featherweight,S-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,"DATE: April 06, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Ignacio Bahamondes, Christos Giagos","1, 0","40, 17","0, 0","0, 0",Lightweight,"KO/TKO, Kick",1,3:34,UFC Fight Night: Allen vs. Curtis 2,"DATE: April 06, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Charlie Campbell, Trevor Peek","0, 0","54, 47","4, 2","0, 0",Lightweight,U-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,"DATE: April 06, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Alex Morono, Court McGee","0, 0","38, 60","0, 1","1, 0",Welterweight,U-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,"DATE: April 06, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Lukasz Brzeski, Valter Walker","0, 0","58, 33","0, 4","0, 0",Heavyweight,U-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,"DATE: April 06, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Norma Dumont, Germaine de Randamie","0, 0","11, 16","6, 0","0, 0",Women's,U-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,"DATE: April 06, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Victor Hugo, Pedro Falcao","1, 0","68, 42","0, 1","0, 0",Bantamweight,U-DEC,3,5:00,UFC Fight Night: Allen vs. Curtis 2,"DATE: April 06, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Jean Matsumoto, Dan Argueta","0, 0","19, 14","2, 9","1, 0",Bantamweight,"SUB, Guillotine Choke",2,4:59,UFC Fight Night: Allen vs. Curtis 2,"DATE: April 06, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Cesar Almeida, Dylan Budka","0, 0","29, 1","0, 3","0, 0",Middleweight,"KO/TKO, Elbows",2,2:13,UFC Fight Night: Allen vs. Curtis 2,"DATE: April 06, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Nora Cornolle, Melissa Mullins","1, 0","36, 11","0, 1","0, 0",Women's,"KO/TKO, Knee",2,3:06,UFC Fight Night: Allen vs. Curtis 2,"DATE: April 06, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Manon Fiorot, Erin Blanchfield","0, 0","172, 130","1, 0","0, 1",Women's,U-DEC,5,5:00,UFC Fight Night: Blanchfield vs. Fiorot,"DATE: March 30, 2024","LOCATION: Atlantic City, New Jersey, USA"
WIN,"Joaquin Buckley, Vicente Luque","0, 0","55, 21","0, 0","0, 0",Welterweight,"KO/TKO, Punches",2,3:17,UFC Fight Night: Blanchfield vs. Fiorot,"DATE: March 30, 2024","LOCATION: Atlantic City, New Jersey, USA"
WIN,"Chris Weidman, Bruno Silva","1, 0","75, 30","1, 0","0, 0",Middleweight,U-DEC,3,2:18,UFC Fight Night: Blanchfield vs. Fiorot,"DATE: March 30, 2024","LOCATION: Atlantic City, New Jersey, USA"
WIN,"Nursulton Ruziboev, Sedriques Dumas","1, 0","12, 1","0, 0","0, 0",Middleweight,"KO/TKO, Punch",1,3:18,UFC Fight Night: Blanchfield vs. Fiorot,"DATE: March 30, 2024","LOCATION: Atlantic City, New Jersey, USA"
WIN,"Kyle Nelson, Bill Algeo","0, 0","32, 30","0, 0","0, 0",Featherweight,"KO/TKO, Punches",1,4:00,UFC Fight Night: Blanchfield vs. Fiorot,"DATE: March 30, 2024","LOCATION: Atlantic City, New Jersey, USA"
WIN,"Chidi Njokuani, Rhys McKee","0, 0","64, 30","0, 0","0, 0",Welterweight,S-DEC,3,5:00,UFC Fight Night: Blanchfield vs. Fiorot,"DATE: March 30, 2024","LOCATION: Atlantic City, New Jersey, USA"
WIN,"Nate Landwehr, Jamall Emmers","1, 0","37, 39","0, 0","0, 0",Featherweight,"KO/TKO, Punch",1,4:43,UFC Fight Night: Blanchfield vs. Fiorot,"DATE: March 30, 2024","LOCATION: Atlantic City, New Jersey, USA"
WIN,"Virna Jandiroba, Loopy Godinez","0, 0","30, 38","2, 0","3, 0",Women's,U-DEC,3,5:00,UFC Fight Night: Blanchfield vs. Fiorot,"DATE: March 30, 2024","LOCATION: Atlantic City, New Jersey, USA"
WIN,"Julio Arce, Herbert Burns","2, 0","29, 15","0, 0","0, 0",Featherweight,"KO/TKO, Punch",2,2:00,UFC Fight Night: Blanchfield vs. Fiorot,"DATE: March 30, 2024","LOCATION: Atlantic City, New Jersey, USA"
WIN,"Dennis Buzukja, Connor Matthews","1, 0","83, 60","0, 1","0, 0",Featherweight,"KO/TKO, Punch",3,0:22,UFC Fight Night: Blanchfield vs. Fiorot,"DATE: March 30, 2024","LOCATION: Atlantic City, New Jersey, USA"
WIN,"Ibo Aslan, Anton Turkalj","1, 0","74, 55","0, 0","0, 0",Light,"KO/TKO, Punch",3,1:32,UFC Fight Night: Blanchfield vs. Fiorot,"DATE: March 30, 2024","LOCATION: Atlantic City, New Jersey, USA"
WIN,"Jacob Malkoun, Andre Petroski","0, 0","20, 13","0, 1","0, 0",Middleweight,"KO/TKO, Kick",2,0:39,UFC Fight Night: Blanchfield vs. Fiorot,"DATE: March 30, 2024","LOCATION: Atlantic City, New Jersey, USA"
WIN,"Caolan Loughran, Angel Pacheco","0, 0","140, 88","3, 0","0, 0",Bantamweight,U-DEC,3,5:00,UFC Fight Night: Blanchfield vs. Fiorot,"DATE: March 30, 2024","LOCATION: Atlantic City, New Jersey, USA"
WIN,"Rose Namajunas, Amanda Ribas","0, 0","93, 83","1, 4","0, 0",Women's,U-DEC,5,5:00,UFC Fight Night: Ribas vs. Namajunas,"DATE: March 23, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Karl Williams, Justin Tafa","0, 0","40, 21","7, 0","1, 0",Heavyweight,U-DEC,3,5:00,UFC Fight Night: Ribas vs. Namajunas,"DATE: March 23, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Edmen Shahbazyan, AJ Dobson","1, 0","27, 15","1, 0","0, 0",Middleweight,"KO/TKO, Punches",1,4:33,UFC Fight Night: Ribas vs. Namajunas,"DATE: March 23, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Payton Talbott, Cameron Saaiman","1, 0","79, 31","0, 0","0, 0",Bantamweight,"KO/TKO, Punches",2,0:21,UFC Fight Night: Ribas vs. Namajunas,"DATE: March 23, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Youssef Zalal, Billy Quarantillo","0, 0","33, 10","2, 0","2, 0",Featherweight,"SUB, Rear Naked Choke",2,1:50,UFC Fight Night: Ribas vs. Namajunas,"DATE: March 23, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Fernando Padilla, Luis Pajuelo","1, 0","34, 5","0, 0","1, 0",Featherweight,"SUB, D'Arce Choke",1,2:45,UFC Fight Night: Ribas vs. Namajunas,"DATE: March 23, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Trey Ogden, Kurt Holobaugh","0, 0","35, 29","3, 0","0, 0",Lightweight,U-DEC,3,5:00,UFC Fight Night: Ribas vs. Namajunas,"DATE: March 23, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Julian Erosa, Ricardo Ramos","0, 0","4, 7","0, 2","1, 0",Featherweight,"SUB, Guillotine Choke",1,2:15,UFC Fight Night: Ribas vs. Namajunas,"DATE: March 23, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Miles Johns, Cody Gibson","0, 0","25, 18","2, 1","0, 0",Bantamweight,U-DEC,3,5:00,UFC Fight Night: Ribas vs. Namajunas,"DATE: March 23, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Jarno Errens, Steven Nguyen","1, 0","105, 63","0, 1","0, 0",Featherweight,U-DEC,3,5:00,UFC Fight Night: Ribas vs. Namajunas,"DATE: March 23, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Daria Zhelezniakova, Montserrat Rendon","0, 0","57, 25","0, 3","0, 0",Women's,U-DEC,3,5:00,UFC Fight Night: Ribas vs. Namajunas,"DATE: March 23, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Andre Lima, Igor Severino","0, 0","30, 36","1, 5","2, 0",Flyweight,DQ,2,2:52,UFC Fight Night: Ribas vs. Namajunas,"DATE: March 23, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Mick Parkin, Mohammed Usman","0, 0","72, 57","0, 0","0, 0",Heavyweight,U-DEC,3,5:00,UFC Fight Night: Ribas vs. Namajunas,"DATE: March 23, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Marcin Tybura, Tai Tuivasa","0, 0","27, 15","1, 0","1, 0",Heavyweight,"SUB, Rear Naked Choke",1,4:08,UFC Fight Night: Tuivasa vs. Tybura,"DATE: March 16, 2024","LOCATION: Las Vegas, Nevada, USA"
"NC, NC","Bryan Battle, Ange Loosa","0, 0","27, 23","1, 0","0, 0",Welterweight,CNC,2,1:00,UFC Fight Night: Tuivasa vs. Tybura,"DATE: March 16, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Ovince Saint Preux, Kennedy Nzechukwu","1, 0","143, 106","0, 0","0, 0",Light,S-DEC,3,5:00,UFC Fight Night: Tuivasa vs. Tybura,"DATE: March 16, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Christian Rodriguez, Isaac Dulgarian","0, 0","48, 22","0, 7","0, 2",Featherweight,S-DEC,3,5:00,UFC Fight Night: Tuivasa vs. Tybura,"DATE: March 16, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Macy Chiasson, Pannie Kianzad","0, 0","4, 2","2, 1","1, 0",Women's,"SUB, Rear Naked Choke",1,3:54,UFC Fight Night: Tuivasa vs. Tybura,"DATE: March 16, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Gerald Meerschaert, Bryan Barberena","0, 0","11, 12","3, 0","2, 0",Middleweight,"SUB, Rear Naked Choke",2,4:23,UFC Fight Night: Tuivasa vs. Tybura,"DATE: March 16, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Mike Davis, Natan Levy","1, 0","3, 8","0, 1","1, 0",Lightweight,"SUB, Arm Triangle",2,1:43,UFC Fight Night: Tuivasa vs. Tybura,"DATE: March 16, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Chelsea Chandler, Josiane Nunes","0, 0","58, 47","2, 0","0, 0",Women's,U-DEC,3,5:00,UFC Fight Night: Tuivasa vs. Tybura,"DATE: March 16, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Jafel Filho, Ode Osbourne","0, 0","21, 0","1, 0","2, 0",Flyweight,"SUB, Rear Naked Choke",1,4:27,UFC Fight Night: Tuivasa vs. Tybura,"DATE: March 16, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Danny Silva, Josh Culibao","0, 0","45, 87","4, 0","1, 0",Featherweight,S-DEC,3,5:00,UFC Fight Night: Tuivasa vs. Tybura,"DATE: March 16, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Jaqueline Amorim, Cory McKenna","0, 0","3, 4","0, 1","4, 0",Women's,"SUB, Armbar",1,1:38,UFC Fight Night: Tuivasa vs. Tybura,"DATE: March 16, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Thiago Moises, Mitch Ramirez","1, 0","25, 16","2, 0","1, 0",Lightweight,"KO/TKO, Kick",3,0:15,UFC Fight Night: Tuivasa vs. Tybura,"DATE: March 16, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Chad Anheliger, Charalampos Grigoriou","0, 0","85, 21","0, 4","0, 0",Bantamweight,U-DEC,3,5:00,UFC Fight Night: Tuivasa vs. Tybura,"DATE: March 16, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Sean O'Malley, Marlon Vera","0, 0","230, 89","0, 0","0, 0",Bantamweight,U-DEC,5,5:00,UFC 299: O'Malley vs. Vera 2,"DATE: March 09, 2024","LOCATION: Miami, Florida, USA"
WIN,"Dustin Poirier, Benoit Saint Denis","1, 0","28, 50","0, 3","4, 1",Lightweight,"KO/TKO, Punch",2,2:32,UFC 299: O'Malley vs. Vera 2,"DATE: March 09, 2024","LOCATION: Miami, Florida, USA"
WIN,"Michael Page, Kevin Holland","0, 0","41, 29","0, 2","0, 1",Welterweight,U-DEC,3,5:00,UFC 299: O'Malley vs. Vera 2,"DATE: March 09, 2024","LOCATION: Miami, Florida, USA"
WIN,"Jack Della Maddalena, Gilbert Burns","1, 0","67, 27","0, 7","0, 0",Welterweight,"KO/TKO, Elbows",3,3:43,UFC 299: O'Malley vs. Vera 2,"DATE: March 09, 2024","LOCATION: Miami, Florida, USA"
WIN,"Petr Yan, Song Yadong","0, 0","99, 86","2, 1","0, 0",Bantamweight,U-DEC,3,5:00,UFC 299: O'Malley vs. Vera 2,"DATE: March 09, 2024","LOCATION: Miami, Florida, USA"
WIN,"Curtis Blaydes, Jailton Almeida","0, 0","16, 1","0, 9","0, 0",Heavyweight,"KO/TKO, Punches",2,0:36,UFC 299: O'Malley vs. Vera 2,"DATE: March 09, 2024","LOCATION: Miami, Florida, USA"
WIN,"Maycee Barber, Katlyn Cerminara","0, 0","84, 66","4, 1","0, 0",Women's,U-DEC,3,5:00,UFC 299: O'Malley vs. Vera 2,"DATE: March 09, 2024","LOCATION: Miami, Florida, USA"
WIN,"Mateusz Gamrot, Rafael Dos Anjos","0, 1","57, 36","11, 0","0, 0",Lightweight,U-DEC,3,5:00,UFC 299: O'Malley vs. Vera 2,"DATE: March 09, 2024","LOCATION: Miami, Florida, USA"
WIN,"Kyler Phillips, Pedro Munhoz","0, 0","114, 52","0, 1","0, 0",Bantamweight,U-DEC,3,5:00,UFC 299: O'Malley vs. Vera 2,"DATE: March 09, 2024","LOCATION: Miami, Florida, USA"
WIN,"Philipe Lins, Ion Cutelaba","0, 0","67, 47","2, 0","0, 0",Light,U-DEC,3,5:00,UFC 299: O'Malley vs. Vera 2,"DATE: March 09, 2024","LOCATION: Miami, Florida, USA"
WIN,"Michel Pereira, Michal Oleksiejczuk","0, 0","11, 1","0, 0","1, 0",Middleweight,"SUB, Rear Naked Choke",1,1:01,UFC 299: O'Malley vs. Vera 2,"DATE: March 09, 2024","LOCATION: Miami, Florida, USA"
WIN,"Robelis Despaigne, Josh Parisian","1, 0","7, 2","0, 0","0, 0",Heavyweight,"KO/TKO, Punch",1,0:18,UFC 299: O'Malley vs. Vera 2,"DATE: March 09, 2024","LOCATION: Miami, Florida, USA"
WIN,"Asu Almabayev, CJ Vergara","0, 0","44, 29","9, 0","0, 0",Flyweight,U-DEC,3,5:00,UFC 299: O'Malley vs. Vera 2,"DATE: March 09, 2024","LOCATION: Miami, Florida, USA"
WIN,"Joanne Wood, Maryna Moroz","0, 0","136, 102","1, 1","0, 0",Women's,S-DEC,3,5:00,UFC 299: O'Malley vs. Vera 2,"DATE: March 09, 2024","LOCATION: Miami, Florida, USA"
WIN,"Jairzinho Rozenstruik, Shamil Gaziev","0, 0","127, 22","0, 1","0, 0",Heavyweight,KO/TKO,4,5:00,UFC Fight Night: Rozenstruik vs. Gaziev,"DATE: March 02, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Vitor Petrino, Tyson Pedro","0, 0","27, 30","3, 0","0, 0",Light,U-DEC,3,5:00,UFC Fight Night: Rozenstruik vs. Gaziev,"DATE: March 02, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Muhammad Mokaev, Alex Perez","0, 0","47, 30","3, 0","0, 0",Flyweight,U-DEC,3,5:00,UFC Fight Night: Rozenstruik vs. Gaziev,"DATE: March 02, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Umar Nurmagomedov, Bekzat Almakhan","0, 1","68, 3","5, 0","0, 0",Bantamweight,U-DEC,3,5:00,UFC Fight Night: Rozenstruik vs. Gaziev,"DATE: March 02, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Steve Erceg, Matt Schnell","1, 0","34, 22","0, 0","0, 0",Flyweight,"KO/TKO, Punch",2,0:26,UFC Fight Night: Rozenstruik vs. Gaziev,"DATE: March 02, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Eryk Anders, Jamie Pickett","0, 1","23, 20","5, 0","0, 0",Middleweight,U-DEC,3,5:00,UFC Fight Night: Rozenstruik vs. Gaziev,"DATE: March 02, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Vinicius Oliveira, Benardo Sopaj","1, 0","67, 45","2, 3","0, 0",Bantamweight,"KO/TKO, Flying Knee",3,4:41,UFC Fight Night: Rozenstruik vs. Gaziev,"DATE: March 02, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Aiemann Zahabi, Javid Basharat","0, 0","75, 67","0, 0","0, 0",Bantamweight,U-DEC,3,5:00,UFC Fight Night: Rozenstruik vs. Gaziev,"DATE: March 02, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Christian Leroy Duncan, Claudio Ribeiro","0, 0","65, 4","1, 0","0, 0",Middleweight,"KO/TKO, Punches",2,1:57,UFC Fight Night: Rozenstruik vs. Gaziev,"DATE: March 02, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Ludovit Klein, AJ Cunningham","1, 0","60, 36","2, 0","0, 0",Lightweight,"KO/TKO, Kick",1,4:36,UFC Fight Night: Rozenstruik vs. Gaziev,"DATE: March 02, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Loik Radzhabov, Abdul-Kareem Al-Selwady","1, 0","39, 38","4, 3","0, 0",Lightweight,"KO/TKO, Punch",3,0:49,UFC Fight Night: Rozenstruik vs. Gaziev,"DATE: March 02, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Brandon Royval, Brandon Moreno","0, 0","145, 112","1, 3","0, 0",Flyweight,S-DEC,5,5:00,UFC Fight Night: Moreno vs. Royval 2,"DATE: February 24, 2024","LOCATION: Mexico City, Distrito Federal, Mexico"
WIN,"Brian Ortega, Yair Rodriguez","0, 1","28, 55","3, 0","1, 0",Featherweight,"SUB, Arm Triangle",3,0:58,UFC Fight Night: Moreno vs. Royval 2,"DATE: February 24, 2024","LOCATION: Mexico City, Distrito Federal, Mexico"
WIN,"Daniel Zellhuber, Francisco Prado","0, 0","120, 90","0, 0","0, 0",Lightweight,U-DEC,3,5:00,UFC Fight Night: Moreno vs. Royval 2,"DATE: February 24, 2024","LOCATION: Mexico City, Distrito Federal, Mexico"
WIN,"Yazmin Jauregui, Sam Hughes","0, 0","94, 83","0, 0","0, 0",Women's,U-DEC,3,5:00,UFC Fight Night: Moreno vs. Royval 2,"DATE: February 24, 2024","LOCATION: Mexico City, Distrito Federal, Mexico"
WIN,"Manuel Torres, Chris Duncan","0, 0","3, 1","2, 1","1, 0",Lightweight,"SUB, Rear Naked Choke",1,1:46,UFC Fight Night: Moreno vs. Royval 2,"DATE: February 24, 2024","LOCATION: Mexico City, Distrito Federal, Mexico"
WIN,"Raoni Barcelos, Cristian Quinonez","0, 0","43, 29","2, 2","2, 0",Bantamweight,"SUB, Rear Naked Choke",3,2:04,UFC Fight Night: Moreno vs. Royval 2,"DATE: February 24, 2024","LOCATION: Mexico City, Distrito Federal, Mexico"
WIN,"Jesus Aguilar, Mateus Mendonca","0, 0","19, 18","1, 4","1, 1",Flyweight,S-DEC,3,5:00,UFC Fight Night: Moreno vs. Royval 2,"DATE: February 24, 2024","LOCATION: Mexico City, Distrito Federal, Mexico"
WIN,"Edgar Chairez, Daniel Lacerda","0, 0","9, 4","0, 1","1, 0",Flyweight,"SUB, Triangle Choke",1,2:17,UFC Fight Night: Moreno vs. Royval 2,"DATE: February 24, 2024","LOCATION: Mexico City, Distrito Federal, Mexico"
WIN,"Fares Ziam, Claudio Puelles","0, 0","31, 4","0, 7","1, 0",Lightweight,S-DEC,3,5:00,UFC Fight Night: Moreno vs. Royval 2,"DATE: February 24, 2024","LOCATION: Mexico City, Distrito Federal, Mexico"
WIN,"Ronaldo Rodriguez, Denys Bondar","0, 0","31, 41","0, 4","1, 0",Flyweight,"SUB, Rear Naked Choke",2,4:59,UFC Fight Night: Moreno vs. Royval 2,"DATE: February 24, 2024","LOCATION: Mexico City, Distrito Federal, Mexico"
WIN,"Felipe dos Santos, Victor Altamirano","0, 0","37, 40","0, 9","1, 0",Flyweight,S-DEC,3,5:00,UFC Fight Night: Moreno vs. Royval 2,"DATE: February 24, 2024","LOCATION: Mexico City, Distrito Federal, Mexico"
WIN,"Muhammad Naimov, Erik Silva","0, 0","1, 0","1, 0","0, 0",Featherweight,KO/TKO,1,0:44,UFC Fight Night: Moreno vs. Royval 2,"DATE: February 24, 2024","LOCATION: Mexico City, Distrito Federal, Mexico"
WIN,"Ilia Topuria, Alexander Volkanovski","1, 0","35, 47","0, 0","0, 0",Featherweight,"KO/TKO, Punch",2,3:32,UFC 298: Volkanovski vs. Topuria,"DATE: February 17, 2024","LOCATION: Anaheim, California, USA"
WIN,"Robert Whittaker, Paulo Costa","0, 0","95, 67","0, 0","0, 0",Middleweight,U-DEC,3,5:00,UFC 298: Volkanovski vs. Topuria,"DATE: February 17, 2024","LOCATION: Anaheim, California, USA"
WIN,"Ian Machado Garry, Geoff Neal","0, 0","67, 46","0, 0","0, 0",Welterweight,S-DEC,3,5:00,UFC 298: Volkanovski vs. Topuria,"DATE: February 17, 2024","LOCATION: Anaheim, California, USA"
WIN,"Merab Dvalishvili, Henry Cejudo","0, 0","74, 29","5, 1","1, 0",Bantamweight,U-DEC,3,5:00,UFC 298: Volkanovski vs. Topuria,"DATE: February 17, 2024","LOCATION: Anaheim, California, USA"
WIN,"Anthony Hernandez, Roman Kopylov","0, 0","34, 35","3, 0","2, 0",Middleweight,"SUB, Rear Naked Choke",2,3:23,UFC 298: Volkanovski vs. Topuria,"DATE: February 17, 2024","LOCATION: Anaheim, California, USA"
WIN,"Amanda Lemos, Mackenzie Dern","1, 0","41, 21","2, 1","0, 0",Women's,U-DEC,3,5:00,UFC 298: Volkanovski vs. Topuria,"DATE: February 17, 2024","LOCATION: Anaheim, California, USA"
WIN,"Marcos Rogerio de Lima, Junior Tafa","1, 0","33, 11","1, 0","0, 0",Heavyweight,"KO/TKO, Kick",2,1:14,UFC 298: Volkanovski vs. Topuria,"DATE: February 17, 2024","LOCATION: Anaheim, California, USA"
WIN,"Rinya Nakamura, Carlos Vera","0, 0","38, 12","3, 0","0, 0",Bantamweight,U-DEC,3,5:00,UFC 298: Volkanovski vs. Topuria,"DATE: February 17, 2024","LOCATION: Anaheim, California, USA"
WIN,"Zhang Mingyang, Brendson Ribeiro","1, 0","17, 14","0, 0","0, 0",Light,"KO/TKO, Punch",1,1:41,UFC 298: Volkanovski vs. Topuria,"DATE: February 17, 2024","LOCATION: Anaheim, California, USA"
WIN,"Danny Barlow, Josh Quinlan","1, 0","95, 39","0, 0","0, 0",Welterweight,"KO/TKO, Punches",3,1:18,UFC 298: Volkanovski vs. Topuria,"DATE: February 17, 2024","LOCATION: Anaheim, California, USA"
WIN,"Oban Elliott, Val Woodburn","0, 1","70, 23","3, 2","0, 0",Welterweight,U-DEC,3,5:00,UFC 298: Volkanovski vs. Topuria,"DATE: February 17, 2024","LOCATION: Anaheim, California, USA"
WIN,"Miranda Maverick, Andrea Lee","0, 0","66, 36","3, 2","0, 1",Women's,U-DEC,3,5:00,UFC 298: Volkanovski vs. Topuria,"DATE: February 17, 2024","LOCATION: Anaheim, California, USA"
WIN,"Jack Hermansson, Joe Pyfer","0, 0","121, 92","1, 0","0, 0",Middleweight,U-DEC,5,5:00,UFC Fight Night: Hermansson vs. Pyfer,"DATE: February 10, 2024","LOCATION: Las Vegas, Nevada, USA"
WIN,"Dan Ige, Andre Fili","1, 0","11, 8","0, 0","0, 0",Featherweight,"KO/TKO, Punch",1,2:43,UFC Fight Night: Hermansson vs. Pyfer,"DATE: February 10, 2024","LOCATION: Las Vegas, Nevada, USA"
